Name,Age,Gender,Class/Dept,Joined,Occupation,Survived,Nationality
"GOLDER, Mr Martin William",35,Male,Engineering,Southampton,Fireman,0,English
"GOLLOP, Mr Percival Salisbury",30,Male,Victualling,Southampton,Assistant Passage Cook,0,English
"GORDON, Mr John",30,Male,Engineering,Southampton,Trimmer,0,Scottish
"GOREE, Mr Frank",40,Male,Engineering,Southampton,Greaser,0,English
"GOSHAWK, Mr Alfred James",40,Male,Victualling,Belfast,Saloon Steward (1st class),0,English
"GOSLING, Mr Bertram James",22,Male,Engineering,Southampton,Trimmer,0,English
"GOSLING, Mr Frank Henry",25,Male,Engineering,Southampton,Trimmer,0,English
"GRADIDGE, Mr Ernest Edward",22,Male,Engineering,Southampton,Fireman,0,English
"GRAHAM, Mr Thomas Gibson",28,Male,Engineering,Belfast,Fireman,1,Irish
"GREEN, Mr George",20,Male,Engineering,Southampton,Trimmer,0,English
"GREGORY, Mr David",43,Male,Engineering,Southampton,Greaser,0,English
"GREGSON, Miss Mary Josephine",45,Female,Victualling,Southampton,Stewardess,1,English
"GROSCLAUDE, Mr Gérald",24,Male,Restaurant,Southampton,Waiter,0,Swiss
"GUMERY, Mr George",24,Male,Engineering,Southampton,Mess Steward,0,English
"GUNN, Mr Joseph Alfred",30,Male,Victualling,Southampton,Assistant Saloon Steward (2nd Class),0,English
"GUY, Mr Elgar John",29,Male,Victualling,Southampton,Boots,1,English
"GWINN, Mr William Logan",37,Male,Postal Clerk,Southampton,Postal Clerk / Postman,0,American
"HAGGAN, Mr John",35,Male,Engineering,Belfast,Fireman,1,Irish
"HAINES, Mr Albert",31,Male,Deck,Belfast,Boatswain Mate,1,English
"HALFORD, Mr Richard",27,Male,Victualling,Southampton,3rd Class Steward,1,English
"HALL, Mr Frank Alfred James",40,Male,Victualling,Southampton,Scullion,0,English
"HALL, Mr J.",32,Male,Engineering,Southampton,Fireman,0,English
"HALLETT, Mr George Alexander",23,Male,Engineering,Southampton,Fireman,0,English
"HAMBLYN, Mr Ernest William",47,Male,Victualling,Southampton,2nd Class Bedroom Steward,0,English
"HAMILTON, Mr Ernest",25,Male,Victualling,Belfast,Assistant Smoke Room Steward (1st class),0,English
"HANDS, Mr Bernard",54,Male,Engineering,Southampton,Fireman,0,Irish
"HANNAM, Mr George",30,Male,Engineering,Southampton,Fireman,0,English
"HARDER, Mr William",39,Male,Deck,Southampton,Window Cleaner,1,English
"HARDING, Mr Alfred John",21,Male,Victualling,Southampton,Assistant Pantry Steward (2nd class),0,English
"HARDWICK, Mr Reginald",21,Male,Victualling,Southampton,Kitchen Porter,1,English
"HARDY, Mr John",40,Male,Victualling,Belfast,Chief Second Class Steward,1,English
"HARRIS, Mr Amos",24,Male,Engineering,Southampton,Trimmer,0,English
"HARRIS, Mr Charles William",19,Male,Victualling,Southampton,Saloon Steward (2nd class),0,English
"HARRIS, Mr Clifford Henry",17,Male,Victualling,Southampton,Bell Boy,0,English
"HARRIS, Mr Edward John",29,Male,Engineering,Southampton,Fireman,0,English
"HARRIS, Mr Edward Matthew",17,Male,Victualling,Southampton,Assistant Pantryman Steward (1st Class),0,English
"HARRIS, Mr Fred",39,Male,Engineering,Southampton,Fireman,1,English
"HARRISON, Mr Aragõa Drummond",40,Male,Victualling,Southampton,Saloon Steward (1st class),1,English
"HARRISON, Mr Norman E.",38,Male,Engineering,Belfast,Junior 2nd. Engineer,0,English
"HART, Mr James",54,Male,Engineering,Southampton,Fireman,0,English
"HART, Mr John Edward",31,Male,Victualling,Southampton,Steward,1,English
"HARTNELL, Mr Fred",21,Male,Victualling,Southampton,Saloon Steward,1,English
"HARVEY, Mr Herbert Gifford",34,Male,Engineering,Belfast,Junior Assistant 2nd. Engineer,0,Irish
"HATCH, Mr Hugh",21,Male,Victualling,Southampton,Scullion,0,English
"HAWKESWORTH, Mr James",52,Male,Victualling,Southampton,Saloon Steward (2nd class),0,English
"HAWKESWORTH, Mr William Walter",43,Male,Victualling,Southampton,Deck Steward (1st class),0,English
"HAYTER, Mr Arthur",44,Male,Victualling,Belfast,Bed Room Steward,0,English
"HEAD, Mr Alfred",24,Male,Engineering,Southampton,Fireman,0,English
"HEBB, Mr William Albert Thomas",22,Male,Engineering,Southampton,Trimmer,1,English
"HEINEN, Mr Joseph Dominichus",30,Male,Victualling,Southampton,Saloon Steward (2nd class),0,"German, English"
"HEMMING, Mr Samuel Ernest",43,Male,Deck,Belfast,Lamp Trimmer,1,English
"HENDRICKSON, Mr Charles Osker",28,Male,Engineering,Southampton,Leading Fireman,1,English
"HENDY, Mr Edward Martin",39,Male,Victualling,Belfast,Saloon Steward,0,English
"HENSFORD, Mr Herbert George Ernest",26,Male,Victualling,Southampton,Assistant Butcher,0,English
"HESKETH, Mr John Henry",33,Male,Engineering,Belfast,Second Engineer (refrigeration),0,English
"HESLIN, Mr James",51,Male,Engineering,Southampton,Trimmer,0,Irish
"HEWITT, Mr Thomas",37,Male,Victualling,Belfast,Bed Room Steward (1st class),0,English
"HICHENS, Mr Robert",29,Male,Deck,Southampton,Quartermaster,1,English
"HILL, Mr Henry Parkinson",37,Male,Victualling,Southampton,Steward,0,English
"HILL, Mr James",25,Male,Engineering,Southampton,Trimmer,0,English
"HILL, Mr James Colston",43,Male,Victualling,Belfast,1st Class Bedroom Steward,0,English
"HINCKLEY, Mr George Herbert",40,Male,Victualling,Southampton,Bathroom Steward (1st Class),0,English
"HINE, Mr William Edward",36,Male,Victualling,Southampton,3rd Baker,0,English
"HINTON, Mr Stephen William",30,Male,Engineering,Southampton,Trimmer,0,English
"HISCOCK, Mr Sydney George",25,Male,Victualling,Southampton,Plate Steward,0,English
"HOARE, Mr Leonard James",18,Male,Victualling,Belfast,Saloon Steward,0,English
"HODGE, Mr Charley",29,Male,Engineering,Belfast,Senior Assistant 3rd. Engineer,0,English
"HODGES, Mr W.",26,Male,Engineering,Southampton,Fireman,0,English
"HODGKINSON, Mr Leonard",46,Male,Engineering,Belfast,Senior 4th. Engineer,0,English
"HOGAN, Mr Albert John",19,Male,Victualling,Southampton,Scullion,0,English
"HOGG, Mr Charles William",43,Male,Victualling,Southampton,1st Class Bedroom Steward,0,English
"HOGG, Mr George Alfred",29,Male,Deck,Belfast,Lookout,1,English
"HOGUE, Mr E.",22,Male,Victualling,Southampton,Plate Steward,0,English
"HOLLAND, Mr Thomas",28,Male,Victualling,Belfast,Reception Steward,0,English
"HOLLOWAY, Mr Sidney",24,Male,Victualling,Southampton,Assistant clothes presser steward,0,English
"HOLMAN, Mr Harry",29,Male,Deck,Belfast,Able Seaman,0,English
"HOPGOOD, Mr Roland John C.",29,Male,Engineering,Southampton,Fireman,0,English
"HOPKINS, Mr Frederick William",14,Male,Victualling,Southampton,Plate Steward,0,English
"HOPKINS, Mr Robert John",43,Male,Deck,Belfast,Able Seaman,1,Irish
"HORSWILL, Mr Albert Edward James",33,Male,Deck,Southampton,Able Seaman,1,English
"HOSGOOD, Mr Richard William",22,Male,Engineering,Southampton,Fireman,0,English
"HOSKING, Mr George Fox",36,Male,Engineering,Belfast,Senior 3rd. Engineer,0,English
"HOUSE, Mr William Charles",45,Male,Victualling,Belfast,Saloon Steward (1st class),0,English
"HOWELL, Mr Arthur Albert",31,Male,Victualling,Belfast,Saloon Steward (1st class),0,English
"HUGHES, Mr William Thomas",34,Male,Victualling,Southampton,Assistant Second Steward (1st Class),0,English
"HUMBY, Mr Frederick",17,Male,Victualling,Southampton,Plate Steward (2nd Class),0,English
"HUMPHREYS, Mr Humphrey",31,Male,Victualling,Southampton,"Assistant Saloon Steward, 2nd Class",0,English
"HUMPHREYS, Mr Sidney",52,Male,Deck,Southampton,Quartermaster,1,English
"HUNT, Mr Albert Sylvanus",23,Male,Engineering,Southampton,Trimmer,1,English
"HUNT, Mr Tom",27,Male,Engineering,Southampton,Fireman,0,English
"HURST, Mr Charles John",40,Male,Engineering,Southampton,Fireman,0,English
"HURST, Mr Walter",23,Male,Engineering,Southampton,Fireman,1,English
"HUTCHINSON, Mr James",31,Male,Victualling,Southampton,Vegetable Cook,0,English
"HUTCHINSON, Mr John Hall",28,Male,Deck,Belfast,Carpenter / Joiner,0,English
"HYLAND, Mr Leo James",19,Male,Victualling,Southampton,Steward (3rd Class),1,English
"IDE, Mr Harry John",31,Male,Victualling,Southampton,1st Class Bedroom Steward,0,English
"INGRAM, Mr George",19,Male,Engineering,Southampton,Trimmer,0,English
"INGROUILLE, Mr Henry",21,Male,Victualling,Southampton,Steward,0,Channel Islander
"INGS, Mr William Ernest",20,Male,Victualling,Southampton,Scullion,0,English
"INSTANCE, Mr Thomas",31,Male,Engineering,Southampton,Fireman,0,English
"JACKOPSON, Mr John Henry",30,Male,Engineering,Southampton,Fireman,0,English
"JACKSON, Mr Cecil",22,Male,Victualling,Belfast,Assistant boots steward (1st class),0,English
"JAGO, Mr Joseph",59,Male,Engineering,Southampton,Greaser,0,English
"JAILLET, Mr Henri Marie",38,Male,Restaurant,Southampton,Pastry Cook (Restaurant),0,French
"JAMES, Mr Thomas",27,Male,Engineering,Southampton,Fireman,0,Welsh
"JANAWAY, Mr William Frank",35,Male,Victualling,Belfast,Bed Room Steward,0,English
"JANIN, Mr Claude Marie",29,Male,Restaurant,Southampton,Soup Cook,0,French
"JEFFERY, Mr William Alfred",28,Male,Restaurant,Southampton,A la carte restaurant controller,0,English
"JENNER, Mr Thomas Henry (Harry)",55,Male,Victualling,Belfast,Saloon Steward,0,English
"JENSEN, Mr Charles Valdemar",24,Male,Victualling,Southampton,Saloon Steward,0,Danish
"JESSOP, Miss Violet Constance",24,Female,Victualling,Southampton,Stewardess,1,"English,Argentinian"
"JEWELL, Mr Archie",23,Male,Deck,Belfast,Lookout,1,English
"JOAS, Mr N.",39,Male,Engineering,Southampton,Fireman,0,Cape Verdean
"JOHNSTONE, Mr James",52,Male,Victualling,Belfast,Saloon Steward,1,Scottish
"JONES, Mr Albert Hugh Brabner",17,Male,Victualling,Southampton,Saloon Steward (2nd class),0,English
"JONES, Mr Arthur Ernest",37,Male,Victualling,Southampton,Plate Steward (2nd Class),0,English
"JONES, Mr Harry Owen Glendower",36,Male,Victualling,Southampton,Roast Cook,0,English
"JONES, Mr Thomas William",34,Male,Deck,Southampton,Able Seaman,1,Welsh
"JONES, Mr Victor Reginald",20,Male,Victualling,Southampton,Saloon Steward (1st class),0,English
"JOUANNAULT, Mr Georges Jules",24,Male,Restaurant,Southampton,Assistant Sauce Cook,0,French
"JOUGHIN, Mr Charles John",33,Male,Victualling,Belfast,Chief Baker,1,English
"JUDD, Mr Charles Edward",31,Male,Engineering,Southampton,Fireman,1,English
"JUKES, Mr Henry James",38,Male,Engineering,Southampton,Greaser,0,English
"JUPE, Mr Boykett Herbert",30,Male,Engineering,Southampton,Electrician,0,English
"KASPER, Mr F.",40,Male,Engineering,Southampton,Fireman,1,German
"KEARL, Mr Charles Henry",44,Male,Engineering,Southampton,Greaser,0,English
"KEARL, Mr George Edward",25,Male,Engineering,Southampton,Trimmer,0,English
"KEEGAN, Mr James",38,Male,Engineering,Southampton,Leading Fireman,0,English
"KEEN, Mr Percy Edward",30,Male,Victualling,Southampton,Saloon Steward (1st class),1,English
"KELLAND, Mr Thomas",19,Male,Victualling,Southampton,2nd class library steward,0,English
"KELLY, Mr James",44,Male,Engineering,Southampton,Greaser,0,Irish
"KELLY, Mr William Patrick",23,Male,Engineering,Belfast,Assistant Electrician,0,Scottish
"KEMISH, Mr George",22,Male,Engineering,Southampton,Fireman,1,English
"KEMP, Mr Thomas Hulman",43,Male,Engineering,Belfast,Extra Assistant 4th Engineer (Refrigeration),0,English
"KENNELL, Mr Charles",30,Male,Victualling,Southampton,Hebrew Cook,0,South African
"KENZLER, Mr August",44,Male,Engineering,Belfast,Storekeeper,0,English
"KERLEY, Mr William Thomas",28,Male,Victualling,Southampton,Assistant Saloon Steward (2nd class),0,English
"KERR, Mr Thomas Russell",26,Male,Engineering,Southampton,Fireman,0,Scottish
"KETCHLEY, Mr Henry",36,Male,Victualling,Belfast,Saloon Steward,0,English
"KIERAN, Mr Edgar Michael",34,Male,Victualling,Southampton,Storekeeper,0,Irish
"KIERAN, Mr James William",35,Male,Victualling,Southampton,Chief 3rd Class Steward,0,English
"KINCHENTEN, Mr Frederick Charles",36,Male,Engineering,Southampton,Greaser,0,English
"KING, Mr Alfred John Moffett",18,Male,Victualling,Southampton,Lift Steward,0,English
"KING, Mr Ernest Waldron",28,Male,Victualling,Southampton,Clerk (1st class),0,Irish
"KING, Mr Thomas Walter",42,Male,Deck,Southampton,Master-at-arms,0,English
"KINGSCOTE, Mr William Ford",48,Male,Victualling,Southampton,Saloon Steward (1st class),0,English
"KINSELLA, Mr Louis",30,Male,Engineering,Southampton,Fireman,0,English
"KIRKALDY, Mr Thomas Benjamin",35,Male,Victualling,Southampton,Bed Room Steward,0,English
"KIRKHAM, Mr James",43,Male,Engineering,Southampton,Greaser,0,English
"KITCHING, Mr Arthur Alfred",31,Male,Victualling,Southampton,Saloon Steward (1st class),0,English
"KLEIN, Mr Herbert",34,Male,Victualling,Southampton,Barber,0,English
"KNIGHT, Mr George",46,Male,Victualling,Southampton,Saloon Steward,1,English
"KNIGHT, Mr Leonard George",21,Male,Victualling,Southampton,Steward (3rd class),0,English
"KNOWLES, Mr Thomas",44,Male,Engineering,Southampton,Firemens' Messman,1,English
"LACEY, Mr Bertie William",19,Male,Victualling,Southampton,"Assistant Saloon steward, 2nd Class",0,English
"LAHY, Mr T.",41,Male,Engineering,Southampton,Fireman,0,English
"LAKE, Mr William",46,Male,Victualling,Belfast,Saloon Steward (1st class),0,English
"LANE, Mr Albert Edward",33,Male,Victualling,Southampton,Saloon Steward (1st class),0,English
"LATIMER, Mr Andrew",55,Male,Victualling,Belfast,Chief Steward,0,English
"LAVINGTON, Miss Elizabeth",40,Female,Victualling,Southampton,Stewardess,1,English
"LAWRANCE, Mr Arthur",36,Male,Victualling,Belfast,Saloon Steward (1st class),0,English
"LEADER, Mr Archibald",22,Male,Victualling,Southampton,Confectioner,0,Welsh
"LEATHER, Mrs Elizabeth Mary",50,Female,Victualling,Southampton,Stewardess,1,English
"LEE, Mr Henry Reginald",29,Male,Victualling,Southampton,Scullion,1,English
"LEE, Mr Herbert Henry",17,Male,Engineering,Southampton,Trimmer,0,English
"LEE, Mr Reginald Robinson",41,Male,Deck,Southampton,Lookout,1,English
"LEFEBVRE, Mr Paul Georges",35,Male,Victualling,Southampton,Saloon Steward,0,French
"LEONARD, Mr Matthew",25,Male,Victualling,Belfast,3rd Class Steward,0,"American, Irish"
"LEVETT, Mr George Alfred",25,Male,Victualling,Belfast,Assistant Pantryman Steward (1st Class),0,English
"LEWIS, Mr Arthur Ernest Read",27,Male,Victualling,Southampton,Steward,1,English
"LIGHT, Mr Charles Edward",24,Male,Victualling,Southampton,Plate Steward (1st class),0,English
"LIGHT, Mr Christopher William",20,Male,Engineering,Southampton,Fireman,0,English
"LIGHT, Mr W.",47,Male,Engineering,Southampton,Fireman,0,English
"LIGHTOLLER, Mr Charles Herbert",38,Male,Deck Officers,Belfast,2nd. Officer,1,English
"LINDSAY, Mr William Charles",30,Male,Engineering,Southampton,Fireman,1,English
"LITTLEJOHN, Mr Alexander James",40,Male,Victualling,Belfast,Saloon Steward (1st class),1,English
"LLOYD, Mr Humphrey",41,Male,Victualling,Belfast,Saloon Steward (1st class),0,English
"LLOYD, Mr William",29,Male,Engineering,Southampton,Fireman,0,English
"LOCKE, Mr Albert George",33,Male,Victualling,Southampton,Scullion,0,English
"LONG, Mr Frank",31,Male,Engineering,Southampton,Trimmer,0,English
"LONG, Mr William",36,Male,Engineering,Southampton,Trimmer,0,English
"LONGMUIR, Mr John Dickson",19,Male,Victualling,Southampton,Assistant Pantry Steward (2nd class),0,English
"LOVELL, Mr John",37,Male,Victualling,Southampton,Grill Cook,0,English
"LOWE, Mr Harold Godfrey",29,Male,Deck Officers,Belfast,5th. Officer,1,Welsh
"LUCAS, Mr William Arthur",25,Male,Deck,Southampton,Able Seaman,1,English
"LUCAS, Mr William Watson",31,Male,Victualling,Belfast,Saloon Steward (1st class),1,English
"LYDIATT, Mr Charles",45,Male,Victualling,Southampton,Saloon Steward (1st class),0,English
"LYONS, Mr William Henry",25,Male,Deck,Southampton,Able Seaman,0,Irish
"MABEY, Mr John Charles",23,Male,Victualling,Southampton,3rd Class Steward,0,English
"MACKIE, Mr George William",34,Male,Victualling,Southampton,2nd Class Bedroom Steward,0,English
"MACKIE, Mr William Dickson",32,Male,Engineering,Belfast,Junior 5th. Engineer,0,Scottish
"MAJOR, Mr Thomas Edgar",36,Male,Victualling,Belfast,Bathroom Steward (1st Class),0,English
"MAJOR, Mr William James",32,Male,Engineering,Southampton,Fireman,1,English
"MANTLE, Mr Roland Frederick",40,Male,Victualling,Southampton,3rd Class Steward,0,English
"MARCH, Mr John Starr",50,Male,Postal Clerk,Southampton,Postal Clerk / Postman,0,American
"MARETT, Mr George John",26,Male,Engineering,Southampton,Fireman,0,English
"MARKS, Mr James",27,Male,Victualling,Southampton,Assistant Pantryman Steward (1st Class),0,Scottish
"MARRIOTT, Mr John William",21,Male,Victualling,Southampton,Assistant Pantryman Steward (1st Class),0,English
"MARSDEN, Miss Evelyn",28,Female,Victualling,Southampton,Stewardess,1,Australian
"MARSH, Mr Frederick Charles",39,Male,Engineering,Southampton,Fireman,0,English
"MARTIN, Miss Mabel Elvina",20,Female,Restaurant,Southampton,Cashier,1,English
"MARTIN, Mrs Annie Martha",39,Female,Victualling,Southampton,Stewardess,1,Channel Islander
"MASKELL, Mr Leopold Adolphus",25,Male,Engineering,Southampton,Trimmer,0,English
"MASON, Mr Frank Archibald Robert",32,Male,Engineering,Southampton,Fireman,1,English
"MASON, Mr J.",39,Male,Engineering,Southampton,Leading Fireman,0,English
"MATHERSON, Mr David",33,Male,Deck,Southampton,Able Seaman,0,Scottish
"MATHIAS, Mr Montague Vincent",29,Male,Deck,Southampton,Mess Steward,0,Welsh
"MATTMANN, Sig. Adolf",20,Male,Restaurant,Southampton,Ice Man,0,Swiss
"MAUGé, Mr Paul Achille Maurice Germain",25,Male,Restaurant,Southampton,Kitchen Clerk,1,French
"MAXWELL, Mr John",29,Male,Deck,Belfast,Carpenter / Joiner,0,English
"MAY, Mr Arthur William",22,Male,Engineering,Southampton,Fireman,0,English
"MAY, Mr Arthur William",59,Male,Engineering,Southampton,Fireman Messman,0,English
"MAYNARD, Mr Isaac Hiram",31,Male,Victualling,Belfast,Entrée Cook,1,English
"MAYO, Mr William Peter",27,Male,Engineering,Southampton,Leading Fireman,0,English
"MAYTUM, Mr Alfred",53,Male,Victualling,Belfast,Chief Butcher,0,English
"MAYZES, Mr Thomas Jubilee",25,Male,Engineering,Southampton,Fireman,1,English
"MCANDREW, Mr Thomas Patrick",38,Male,Engineering,Southampton,Fireman,0,English
"MCANDREWS, Mr William",23,Male,Engineering,Southampton,Fireman,0,
"MCCARTHY, Mr William",48,Male,Deck,Southampton,Able Seaman,1,Irish
"MCCARTY, Mr Frederick James",38,Male,Victualling,Southampton,Bedroom Steward (1st Class),0,English
"MCCASTLIN, Mr William",28,Male,Engineering,Southampton,Fireman,0,Canadian
"MCCAWLEY, Mr Thomas W.",36,Male,Victualling,Belfast,Gymnasium Steward,0,Scottish
"MCELROY, Mr Hugh Walter",37,Male,Victualling,Southampton,Purser,0,English
"MCGANN, Mr James",29,Male,Engineering,Southampton,Trimmer,1,English
"MCGARVEY, Mr Edward Joseph",34,Male,Engineering,Southampton,Fireman,0,English
"MCGAW, Mr Erroll Victor",30,Male,Engineering,Southampton,Fireman,0,English
"MCGOUGH, Mr George Francis 'Paddy'",36,Male,Deck,Southampton,Able Seaman,1,Irish
"MCGRADY, Mr James",27,Male,Victualling,Southampton,Saloon Steward,0,Irish
"MCINERNEY, Mr Thomas",38,Male,Engineering,Southampton,Greaser,0,English
"MCINTYRE, Mr William",21,Male,Engineering,Southampton,Trimmer,1,English
"MCKAY, Mr Charles Donald",30,Male,Victualling,Belfast,Saloon Steward,1,English
"MCLAREN, Mrs Hypatia",42,Female,Victualling,Southampton,Stewardess,1,English
"MCMICKEN, Mr Arthur",26,Male,Victualling,Belfast,Saloon Steward (1st class),1,English
"MCMICKEN, Mr Benjamin Tucker",21,Male,Victualling,Belfast,Second Pantry Steward,0,English
"MCMULLIN, Mr John Richard",36,Male,Victualling,Belfast,First class saloon steward,0,English
"MCMURRAY, Mr William",44,Male,Victualling,Belfast,1st Class Bedroom Steward,0,English
"MCQUILLAN, Mr William",26,Male,Engineering,Belfast,Fireman,0,Irish
"MCRAE, Mr William Alexander",32,Male,Engineering,Southampton,Fireman,0,English
"MCREYNOLDS, Mr William Thomas Carson",22,Male,Engineering,Belfast,Junior 6th. Engineer,0,Irish
"MELLOR, Mr Arthur",34,Male,Victualling,Southampton,Saloon Steward,0,
"MIDDLETON, Mr Alfred Pirrie",27,Male,Engineering,Belfast,Assistant Electrician,0,Irish
"MIDDLETON, Mr Mark Victor",24,Male,Victualling,Southampton,Saloon Steward (2nd class),0,English
"MILFORD, Mr George",27,Male,Engineering,Southampton,Fireman,0,English
"MILLAR, Mr Robert",26,Male,Engineering,Belfast,Extra 5th Engineer,0,Scottish
"MILLAR, Mr Thomas",32,Male,Engineering,Belfast,Deck Engineer,0,Irish
"MILLS, Mr Christopher",51,Male,Victualling,Southampton,Butcher,1,English
"MINTRAM, Mr William",46,Male,Engineering,Southampton,Fireman,0,English
"MISH'ALāNī, Mr Ibrāhīm Mansūr",53,Male,Victualling,Belfast,Printer Steward,0,Syrian
"MITCHELL, Mr Lorenzo Horace",19,Male,Engineering,Southampton,Trimmer,0,English
"MONRóS, Sr. Joan Javier",20,Male,Restaurant,Southampton,Assistant Waiter,0,Spanish
"MONTEVERDI, Sig. Giovanni",23,Male,Restaurant,Southampton,Cook,0,French
"MOODY, Mr James Paul",24,Male,Deck Officers,Belfast,6th. Officer,0,English
"MOORE, Mr Alfred Ernest",38,Male,Victualling,Southampton,"Saloon Steward, 2nd Class",0,English
"MOORE, Mr George Alfred",32,Male,Deck,Southampton,Able Seaman,1,English
"MOORE, Mr J.",29,Male,Engineering,Southampton,Fireman,1,English
"MOORE, Mr Ralph",22,Male,Engineering,Southampton,Trimmer,0,English
"MOORES, Mr Richard Henry",44,Male,Engineering,Southampton,Greaser,0,English
"MORGAN (BIRD), Mr Charles Frederick",44,Male,Victualling,Southampton,Storekeeper (1st Class),0,English
"MORGAN, Mr Arthur Herbert",27,Male,Engineering,Southampton,Trimmer,0,English
"MORGAN, Mr Thomas A.",26,Male,Engineering,Southampton,Fireman,0,English
"MORRIS, Mr Frank Herbert",28,Male,Victualling,Belfast,Bathroom Steward (1st Class),1,English
"MORRIS, Mr William Edward",23,Male,Engineering,Southampton,Trimmer,0,English
"MOSS, Mr William",35,Male,Victualling,Belfast,1st Class Saloon Steward,0,English
"MOYES, Mr William Young",24,Male,Engineering,Belfast,Senior 6th. Engineer,0,Scottish
"MüLLER, Mr Ludwig",37,Male,Victualling,Southampton,Interpreter Steward (3rd Class),0,German
"MULLIN, Mr Thomas",20,Male,Victualling,Southampton,3rd Class Steward,0,Scottish
"MURDOCH, Mr William McMaster",39,Male,Deck Officers,Belfast,1st. Officer,0,Scottish
"MURDOCK, Mr William John",37,Male,Engineering,Belfast,Fireman,1,English
"NANNINI, Sig. Francesco Luigi Arcangelo",42,Male,Restaurant,Southampton,Head Waiter (Restaurant),0,Italian
"NEAL, Mr Harold Bentley",25,Male,Victualling,Southampton,Baker,1,English
"NETTLETON, Mr George Walter",30,Male,Engineering,Southampton,Fireman,0,English
"NEWMAN, Mr Charles Thomas",32,Male,Engineering,Southampton,Assistant Storekeeper,0,English
"NICHOLLS, Mr Sidney",39,Male,Victualling,Southampton,Saloon Steward,0,English
"NICHOLS, Mr Albert William Stanley",47,Male,Deck,Belfast,Boatswain,0,Australian
"NICHOLS, Mr Arthur",45,Male,Victualling,Southampton,Steward,0,English
"NICHOLS, Mr Walter Henry",35,Male,Victualling,Southampton,"Assistant Saloon Steward, 2nd class",1,English
"NIVEN, Mr John Brown",30,Male,Engineering,Southampton,Fireman,0,Scottish
"NOON, Mr John Thomas",42,Male,Engineering,Southampton,Fireman,0,English
"NORRIS, Mr James",22,Male,Engineering,Southampton,Fireman,0,English
"NOSS, Mr Bertram Arthur",20,Male,Engineering,Southampton,Fireman,0,English
"NOSS, Mr Henry",30,Male,Engineering,Southampton,Fireman,1,English
"NUTBEAN, Mr William",30,Male,Engineering,Southampton,Fireman,1,English
"O'CONNOR, Mr John",29,Male,Engineering,Southampton,Trimmer,1,English
"O'CONNOR, Mr Thomas Peter",44,Male,Victualling,Belfast,1st Class Bedroom Steward,0,English
"O'LOUGHLIN, Dr William Francis Norman",63,Male,Deck,Belfast,Surgeon,0,Irish
"OLIVE, Mr Charles",31,Male,Engineering,Southampton,Greaser,0,English
"OLIVE, Mr Ernest Roskelly",27,Male,Victualling,Southampton,Clothes Presser Steward (1st class),0,English
"OLIVER, Mr Harry",41,Male,Engineering,Southampton,Fireman,1,English
"OLLIVER, Mr Alfred John",27,Male,Deck,Belfast,Quartermaster,1,Channel Islander
"ORPET, Mr Walter Hayward",31,Male,Victualling,Southampton,Saloon Steward,0,English
"ORR, Mr James",39,Male,Victualling,Southampton,Assistant Vegetable Cook,0,Scottish
"OSBORNE, Mr William Edward",33,Male,Victualling,Belfast,Saloon Steward,0,English
"OSMAN, Mr Frank",27,Male,Deck,Southampton,Able Seaman,1,English
"OTHEN, Mr Charles Alfred",36,Male,Engineering,Southampton,Fireman,1,English
"OWEN, Mr Lewis",49,Male,Victualling,Southampton,"Assistant Saloon Steward, 2nd Class",0,Welsh
"PACEY, Mr Reginald lvan",17,Male,Victualling,Southampton,Lift Steward,0,English
"PACHERA, Sig. Jean Baptiste Stanislas",19,Male,Restaurant,Southampton,Assistant Larder Cook,0,French
"PAICE, Mr Richard Charles John",32,Male,Engineering,Southampton,Fireman,0,English
"PAINTER, Mr Charles",32,Male,Engineering,Southampton,Fireman,0,English
"PAINTER, Mr Frank",29,Male,Engineering,Southampton,Fireman,0,English
