Name,Accuracy,Team,Opponent,Spread,OU,OppRZD,OffRZEff,OffRank,Weather,KPlus
Michael Badgley,100,LAC,vs. ARI,-13,44,12,13,7,"73F, Light Wind",68
Kaâ€™imi Fairbairn,81.5,HOU,vs. TEN,-6.5,41,2,3,13,Dome,67
Aldrick Rosas,95.2,NYG,at PHI,7,46,7,6,23,"55F, 7 MPH Wind",61
Jason Sanders,93.8,MIA,at IND,10,51,9,0,28,Dome,59
Cairo Santos,83.3,TB,vs. SF,-3,54,16,15,1,"80F, 7 MPH Wind",57
Mason Crosby,76.9,GB,at MIN,4,48,1,18,8,Dome,56
Brandon McManus,82.4,DEN,vs. PIT,3,48,13,10,11,"45F, 8 MPH Wind",54
Dan Bailey,82.4,MIN,vs. GB,-4,48,11,9,14,Dome,54
Stephen Gostkowski,86.4,NE,at NYJ,-9,47,8,22,10,"55F, 7 MPH Wind",52
Justin Tucker,90.5,BAL,vs. OAK,-12,43,10,21,12,"55F, Light Wind",52
Dustin Hopkins,85,WAS,at DAL,9,41,3,12,25,Dome,51
Brett Maher,84,DAL,vs. WAS,-9,41,5,8,27,Dome,50
Jake Elliott,77.8,PHI,vs. NYG,-7,46,6,11,19,"55F, 7 MPH Wind",50
Josh Lambo,94.4,JAC,at BUF,-3,38,25,5,21,"41F, Light Wind",46
Jason Myers,91.3,NYJ,vs. NE,9,47,20,1,29,"55F, 7 MPH Wind",46
Robbie Gould,95.5,SF,at TB,3,54,32,4,17,"80F, 7 MPH Wind",45
Adam Vinatieri,83.3,IND,vs. MIA,-10,51,15,24,9,Dome,43
Matt Bryant,100,ATL,at NO,14,60,28,23,6,Dome,43
Matt Prater,86.4,DET,vs. CHI,3,45,21,7,24,Dome,41
Wil Lutz,95.5,NO,vs. ATL,-14,60,29,28,4,Dome,37
Cody Parkey,76.2,CHI,at DET,-3,45,17,20,16,Dome,36
Steven Hauschka,93.8,BUF,vs. JAC,3,38,14,17,31,"41F, Light Wind",36
Graham Gano,91.7,CAR,vs. SEA,-3,47,18,29,15,"53F, Light Wind",35
Daniel Carlson,63.6,OAK,at BAL,12,43,22,2,22,"55F, Light Wind",34
Greg Joseph,84.6,CLE,at CIN,3,48,23,19,18,"53F, 6 MPH Wind",34
Chris Boswell,72.7,PIT,at DEN,-3.5,48,19,30,5,"45F, 8 MPH Wind",33
Ryan Succop,85.7,TEN,at HOU,6.5,41,30,14,30,Dome,22
Sebastian Janikowski,75,SEA,at CAR,3,47,31,25,20,"53F, Light Wind",18
Randy Bullock,75,CIN,vs. CLE,-3,48,24,31,26,"53F, 6 MPH Wind",14